name,discipline,games
Gymnastics at the 1968 Summer Olympics - Men's Floor Exercises,Men's Floor exercises,1968 Summer Olympics
Wrestling at the 1960 Summer Olympics - Freestyle Welterweight,Men's Freestyle Wrestling; 67-73kg,1960 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 4x100 metre freestyle relay,Women's 4x100m freestyle relay,2000 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's 10000 metres,Men's Athletics; 10000m,1912 Summer Olympics
Diving at the 1984 Summer Olympics - Men's 3 metre springboard,Men's 3 metre springboard,1984 Summer Olympics
Athletics at the 1956 Summer Olympics - Women's Discus Throw,Women's Discus throw,1956 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's 10000 metres,Men's Athletics; 10000m,1920 Summer Olympics
Diving at the 2004 Summer Olympics - Women's 3 metre springboard,Women's 3 metre springboard,2004 Summer Olympics
Athletics at the 1956 Summer Olympics - Men's 200 metres,Men's Athletics; 200m,1956 Summer Olympics
Fencing at the 1904 Summer Olympics - Men's singlestick,Single Sticks,1904 Summer Olympics
Diving at the 1924 Summer Olympics - Men's plain high diving,Men's plain high diving,1924 Summer Olympics
Gymnastics at the 2004 Summer Olympics - Women's Uneven Bars,Women's Uneven bars,2004 Summer Olympics
Diving at the 1984 Summer Olympics - Women's 10 metre platform,Women's 10 metre platform,1984 Summer Olympics
Cycling at the 1952 Summer Olympics - Men's sprint,Men's Track cycling; Sprint individual,1952 Summer Olympics
Weightlifting at the 2004 Summer Olympics - Women's 58 kg,Women's Weightlifting; 58kg,2004 Summer Olympics
Canoeing at the 2012 Summer Olympics – Men's slalom C-1,Men's Slalom C-1 (canoe single),2012 Summer Olympics
Swimming at the 2012 Summer Olympics – Men's 100 metre butterfly,Men's 100m butterfly,2012 Summer Olympics
Ski jumping at the 2002 Winter Olympics - Normal Hill,Men's Individual Normal Hill,2002 Winter Olympics
Swimming,,
Weightlifting at the 1972 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,Men's Weightlifting; Light Heavyweight 75-82.5kg,1972 Summer Olympics
Gymnastics at the 1984 Summer Olympics – Men's rings,Men's Rings,1984 Summer Olympics
Athletics at the 1900 Summer Olympics - Men's standing long jump,Standing Long Jump,1900 Summer Olympics
Archery at the 1972 Summer Olympics – Women's individual,Women's Archery; individual,1972 Summer Olympics
Sailing at the 1908 Summer Olympics - 6 metre class,,1908 Summer Olympics
Figure Skating at the 1956 Winter Olympics -Women Singles,Women's Singles,1956 Winter Olympics
Shooting at the 1972 Summer Olympics - Men's 50 metre pistol,Men's 50m pistol,1972 Summer Olympics
Gymnastics at the 1976 Summer Olympics – Men's parallel bars,Men's Parallel bars,1976 Summer Olympics
Fencing at the 1932 Summer Olympics - Men's Sabre; Individual,Men's Sabre individual,1932 Summer Olympics
Athletics at the 1972 Summer Olympics - Men's 10000 metres,Men's Athletics; 10000m,1972 Summer Olympics
Biathlon at the 1992 Winter Olympics - Men's 10km Sprint,Men's 10 km Sprint,1992 Winter Olympics
Athletics at the 1968 Summer Olympics - Men's 400 metre hurdles,Men's Athletics; 400m hurdles,1968 Summer Olympics
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Lightweight,Men's Greco-Roman Wrestling; Lightweight 62-67.5 kg,1928 Summer Olympics
Gymnastics at the 1992 Summer Olympics – Men's artistic team all-around,,
Equestrian at the 1936 Summer Olympics - Dressage; Individual,Individual Dressage,1936 Summer Olympics
Cross-Country Skiing at the 1968 Winter Olympics - Men's 30 km,Men's Cross-country; 30km,1968 Winter Olympics
Cross Country Skiing at the 1976 Winter Olympics - Women's 5km,Women's 5km,1976 Winter Olympics
Gymnastics at the 1900 Summer Olympics - Men's artistic individual all-around,Men's Gymnastics; individual all-round,1900 Summer Olympics
