name,discipline,games
Weightlifting at the 1932 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,Men's Weightlifting; Light Heavyweight 75-82.5kg,1932 Summer Olympics
Figure skating at the 1968 Winter Olympics - Women's Singles,Women's Singles,1968 Winter Olympics
Speed skating at the 2006 Winter Olympics - Men's 1500m,Men's 1500m,2006 Winter Olympics
Athletics at the 2000 Summer Olympics – Women's 100 metre hurdles,,2000 Summer Olympics
Sailing at the 1900 Summer Olympics - 3 to 10 ton,,1900 Summer Olympics
Swimming at the 1952 Summer Olympics - Women's 100 metre freestyle,Women's 100m freestyle,1952 Summer Olympics
Athletics at the 1976 Summer Olympics - Men's Discus Throw,Men's Discus throw,1976 Summer Olympics
Biathlon at the 2010 Winter Olympics – Women's pursuit,Women's 10 km Pursuit,2010 Winter Olympics
Alpine Skiing at the 1972 Winter Olympics - Men's Slalom,Men's Slalom,1972 Winter Olympics
Weightlifting at the 1992 Summer Olympics - Men's Featherweight 56-60 kg,Men's Weightlifting; Featherweight 56-60kg,1992 Summer Olympics
Short Track Speed Skating at the 1998 Winter Olympicss - Men's 1000m,Men's 1000m,1998 Winter Olympics
Athletics at the 2000 Summer Olympics – Men's discus throw,Men's Discus throw,2000 Summer Olympics
Fencing at the 1968 Summer Olympics – Men's team épée,,
Athletics at the 1948 Summer Olympics – Men's 3000 metre steeplechase,Men's 3000m steeplechase,1948 Summer Olympics
Athletics at the 1936 Summer Olympics – Women's 80 metre hurdles,,
Athletics at the 1992 Summer Olympics - Women's high jump,Women's High jump,1992 Summer Olympics
Cycling at the 1972 Summer Olympics - Men's tandem,,1972 Summer Olympics
Archery at the 2004 Summer Olympics - Women's team,,2004 Summer Olympics
Cycling at the 1952 Summer Olympics - Men's 1000 m Time Trial,Track Cycling; Men's 1000m Time Trial,1952 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 200 metre Individual Medley,Women's 200m individual medley,2000 Summer Olympics
Diving at the 2004 Summer Olympics - Men's 10 metre platform,Men's 10 metre platform,2004 Summer Olympics
Swimming at the 1980 Summer Olympics - Men's 400 metre individual medley,Men's 400m individual medley,1980 Summer Olympics
Athletics at the 1996 Summer Olympics - Women's Long Jump,Women's Long jump,1996 Summer Olympics
Athletics at the 1996 Summer Olympics - Women's 10000 metres,Women's Athletics; 10000m,1996 Summer Olympics
Weightlifting at the 2008 Summer Olympics - Women's 63 kg,Women's Weightlifting; 63kg,2008 Summer Olympics
Judo at the 2008 Summer Olympics - Women's 70 kg,Women's Judo; 63-70kg (Middleweight),2008 Summer Olympics
Canoeing at the 1980 Summer Olympics - Men's K-2 1000 metres,,
Sailing at the 2008 Summer Olympics - Women's Laser Radial class,Women's Laser Radial - One Person Dinghy,2008 Summer Olympics
Wrestling at the 1988 Summer Olympics - Men's Freestyle Featherweight,Men's Freestyle Wrestling; Featherweight 57-62kg,1988 Summer Olympics
Shooting at the 2000 Summer Olympics - Women's 50 metre rifle; three positions,Women's 50m rifle 3 positions,2000 Summer Olympics
Athletics at the 2008 Summer Olympics - Men's 4x400 metre relay,Men's 4x400 metres relay,2008 Summer Olympics
Athletics at the 1992 Summer Olympics - Men's 400 metre hurdles,Men's Athletics; 400m hurdles,1992 Summer Olympics
Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Heavyweight,Men's Greco-Roman Wrestling; Heavyweight 90-100kg,1996 Summer Olympics
Speed Skating at the 1932 Winter Olympics - Men's 5000m,Speed skating - Men's 5000m,1932 Winter Olympics
Athletics at the 2004 Summer Olympics - Men's Pole Vault,Men's Pole vault,2004 Summer Olympics
Shooting at the 2000 Summer Olympics - Men's Double Trap,Men's Double trap,2000 Summer Olympics
Wrestling at the 1972 Summer Olympics - Men's Freestyle Welterweight,Men's freestyle Wrestling; Welterweight 68-74 kg,1972 Summer Olympics
Athletics at the 2004 Summer Olympics - Women's Long Jump,Women's Long jump,2004 Summer Olympics
Shooting at the 1908 Summer Olympics - Trap,Olympic trap,1908 Summer Olympics
Swimming at the 1992 Summer Olympics - Women's 100 metre freestyle,Women's 100m freestyle,1992 Summer Olympics
Wrestling at the 1908 Summer Olympics - Men's freestyle bantamweight,Men's Freestyle Wrestling; Bantamweight -54kg,1908 Summer Olympics
Biathlon at the 2006 Winter Olympics – Men's mass start,Men's 15 km Mass Start,2006 Winter Olympics
Wrestling at the 1956 Summer Olympics - Men's Greco-Roman Light Heavyweight,Men's Greco-Roman Wrestling; Light Heavyweight 79-87kg,1956 Summer Olympics
Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Heavyweight,Men's Greco-Roman Wrestling; Heavyweight +82.5,1928 Summer Olympics
Weightlifting at the 1980 Summer Olympics - Men's Featherweight 56-60 kg,Men's Weightlifting; Featherweight 56-60kg,1980 Summer Olympics
Gymnastics at the 1976 Summer Olympics – Women's artistic individual all-around,Women's Gymnastics; individual all-round,1976 Summer Olympics
Athletics at the 1936 Summer Olympics - Men's 10000 metres,Men's Athletics; 10000m,1936 Summer Olympics
Boxing at the 1968 Summer Olympics - Middleweight,Men's Boxing; Middleweight 71-75kg,1968 Summer Olympics
Weightlifting at the 1968 summer Olympics - Men's Lightweight 60-67.5 kg,Men's Weightlifting; Lightweight 60-67.5kg,1968 Summer Olympics
Fencing at the 2000 Summer Olympics - Men's Épée; Individual,Men's Épée individual,2000 Summer Olympics
Wrestling at the 1948 Summer Olympics - Men's Freestyle Heavyweight,Men's Freestyle Wrestling; Heavyweight +87,1948 Summer Olympics
Equestrian at the 2012 Summer Olympics - Team jumping,Team Jumping,2012 Summer Olympics
Gymnastics at the 2012 Summer Olympics – Women's artistic individual all-around,Women's Gymnastics; individual all-round,2012 Summer Olympics
Gymnastics at the 2000 Summer Olympics – Men's Floor Exercises,Men's Floor exercises,2000 Summer Olympics
Athletics at the 1972 Summer Olympics - Men's Discus Throw,Men's Discus throw,1972 Summer Olympics
Ski jumping at the 1998 Winter Olympics - Large Hill,Men's Large hill individual,1998 Winter Olympics
athletics at the 1968 Summer Olympics - Men's High Jump,Men's High jump,1968 Summer Olympics
Athletics at the 1908 Summer Olympics - Men's 400 metres,Men's Athletics; 400m,1908 Summer Olympics
Cycling at the 2000 Summer Olympics - Women's Points Race,Women's Track cycling; points race,2000 Summer Olympics
Shooting at the 2012 Summer Olympics - Women's Trap,Women's Trap,2012 Summer Olympics
Nordic Combined at the 1952 Winter Olympics - Individual,Men's Nordic Combined; Individual,1952 Winter Olympics
Sailing at the 1964 Summer Olympics - 5.5 Metre,,
Shooting at the 1908 Summer Olympics - Men's double-shot running deer,Running Deer; Double Shot,1908 Summer Olympics
Cross-Country Skiing at the 2002 Winter Olympic - Women's 15km freestyle mass start,Women's 15km Freestyle Mass Start,2002 Winter Olympics
Figure Skating at the 1960 Winter Olympics -Women's Singles,Women's Singles,1960 Winter Olympics
Alpine skiing at the 2010 Winter Olympics – Women's Super Combined,Women's Super Combined,2010 Winter Olympics
Speed Skating at the 1976 Winter Olympics - Women's 1000m,Women's 1000m,1976 Winter Olympics
Gymnastics at the 1968 Summer Olympics – Men's rings,Men's Rings,1968 Summer Olympics
Fencing at the 1952 Summer Olympics - Men's Foil; Individual,Men's Foil individual,1952 Summer Olympics
Athletics at the 1976 Summer Olympics - Women's 100 metres,Women's Athletics; 100m,1976 Summer Olympics
Luge at the 1992 Winter Olympics - Women's Singles,Women's Singles,1992 Winter Olympics
Fencing at the 1956 Summer Olympics - Men's Foil; Individual,Men's Foil individual,1956 Summer Olympics
Weightlifting at the 1980 Summer Olympics - Men's Super Heavyweight +110 kg,Men's Weightlifting; Super Heavyweight +110,1980 Summer Olympics
Wrestling at the 1952 Summer Olympics - Men's Greco-Roman Bantamweight,Men's Greco-Roman Wrestling; Bantamweight 52-57kg,1952 Summer Olympics
Equestrian at the 1932 Summer Olympics - Individual Eventing,Eventing; individual,1932 Summer Olympics
Gymnastics at the 1960 Summer Olympics - Women's artistic individual all-around,Women's Gymnastics; individual all-round,1960 Summer Olympics
Weightlifting at the 1960 Summer Olympics - Men's Lightweight 60-67.5 kg,Men's Weightlifting; Lightweight 60-67.5kg,1960 Summer Olympics
Short Track Speed Skating at the 1998 Winter Olympics - Men's 500m,Men's 500m,1998 Winter Olympics
Speed Skating at the 1998 Winter Olympics - Men's 5000m,Speed skating - Men's 5000m,1998 Winter Olympics
Rowing at the 1948 Summer Olympics - Men's Single Sculls,Men's Single sculls,1948 Summer Olympics
Speed Skating at the 1972 Winter Olympics - Men's 500m,Men's 500m,1972 Winter Olympics
Cross-Country Skiing at the 1980 Winter Olympics - Men's 30km,Men's Cross-country; 30km,1980 Winter Olympics
Boxing at the 1992 Summer Olympics - Super Heavyweight,Men's Boxing; Super Heavyweight +91kg,1992 Summer Olympics
Swimming at the 1960 Summer Olympics – Women's 200 metre breaststroke,Women's 200m breaststroke,1960 Summer Olympics
Swimming at the 1960 Summer Olympics – Women's 100 metre backstroke,Women's 100m backstroke,1960 Summer Olympics
Cross-country skiing at the 2010 Winter Olympics – Men's 15 kilometre freestyle,Men's Cross-Country; 15 km,2010 Winter Olympics
Athletics at the 1964 Summer Olympics - Women's Pentathlon,Women's Athletics; Pentathlon,1964 Summer Olympics
Athletics at the 2000 Summer Olympics – Women's 20 km walk,Women's Athletics; 20km walk,2000 Summer Olympics
Bobsleigh at the 2006 Winter Olympics - Women's Bobsleigh,,
Athletics at the 1948 Summer Olympics – Men's 10 kilometre walk,Men's 10km Walk,1948 Summer Olympics
Fencing at the 1948 Summer Olympics – Men's foil,,
Shooting at the 1900 Summer Olympics - Men's 50 metre pistol,Men's 50m pistol,1900 Summer Olympics
Swimming at the 1976 Summer Olympics - Men's 4 x 200 metre freestyle relay,Men's 4x200m freestyle relay,1976 Summer Olympics
Swimming at the 1900 Summer Olympics - Men's 200 metre freestyle,Men's 200m Freestyle,1900 Summer Olympics
Speed Skating at the 2006 Winter Olympics - Women's 500m,Women's 500 m,2006 Winter Olympics
Equestrian at the 1920 Summer Olympics - Team eventing,,1920 Summer Olympics
Diving at the 1952 Summer Olympics - Women's 3 metre springboard,Women's 3 metre springboard,1952 Summer Olympics
Swimming at the 1984 Summer Olympics - Women's 4 x 100 metre freestyle relay,,1984 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 100 metre butterfly,Women's 100m butterfly,2000 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's 110 metre hurdles,Men's Athletics; 110m hurdles,1920 Summer Olympics
Athletics at the 1904 Summer Olympics - Men's 200 metres,Men's Athletics; 200m,1904 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's marathon,Men's Marathon,1912 Summer Olympics
Diving at the 2000 Summer Olympics - Women's synchronized 10 metre platform,Women's synchronized 10 metre platform,2000 Summer Olympics
Canoeing Flatwater at the 2008 Summer Olympics,,
Nordic combined at the 2002 Winter Olympics – Team,,
Tennis at the 1908 Summer Olympics - Men's Indoor Doubles,,1908 Summer Olympics
Fencing at the 1952 Summer Olympics – Men's foil,,
Table tennis at the 2012 Summer Olympics – Women's singles,Women's TableTennis; Singles,2012 Summer Olympics
Biathlon at the 2006 Winter Olympics – Women's sprint,Women's 7.5 km Sprint,2006 Winter Olympics
Ski Jumping at the 1988 Winter Olympics - Large Hill,Men's Large hill individual,1988 Winter Olympics
Boxing at the 1948 Summer Olympics - Lightweight,Men's Boxing; Lightweight 58-62kg,1948 Summer Olympics
Athletics at the 1948 Summer Olympics - Women's 80m Hurdles,Women's Athletics; 80m Hurdles,1948 Summer Olympics
Cycling at the 1992 Summer Olympics - Men's Individual Pursuit,Men's Track cycling; Individual Pursuit,1992 Summer Olympics
Athletics at the 1952 Summer Olympics - Men's Hammer Throw,Men's Hammer throw,1952 Summer Olympics
Sailing at the 1996 Summer Olympics - Finn Class,Finn Class,1996 Summer Olympics
Gymnastics at the 1952 Summer Olympics - Men's Vault,Men's Vault,1952 Summer Olympics
Cross-Country Skiing at the 1956 Winter Olympics - Men's 50km,Men's Cross-country; 50km,1956 Winter Olympics
Wrestling at the 1960 Summer Olympics - Men's Freestyle Bantamweight,Men's Freestyle Wrestling; Bantamweight 52-57 kg,1960 Summer Olympics
Sailing at the 1972 Summer Olympics – Tempest,,
Cycling at the 2004 Summer Olympics - Men's Madison,Men's Track cycling; Madison,2004 Summer Olympics
Swimming at the 1988 Summer Olympics - Women's 100 metre backstroke,Women's 100m backstroke,1988 Summer Olympics
Gymnastics at the 1932 Summer Olympics - Men's Floor Exercises,Men's Floor exercises,1932 Summer Olympics
Fencing at the 1900 Summer Olympics - Men's Sabre; Individual,Men's Sabre individual,1900 Summer Olympics
Volleyball at the 1996 Summer Olympics - Women's volleyball,Women's Volleyball,1996 Summer Olympics
Swimming at the 1904 Summer Olympics - Men's 50 yard freestyle,Men's 50 yards Freestyle,1904 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's hammer throw,Men's Hammer throw,1912 Summer Olympics
Canoeing at the 1964 Summer Olympics - Men's C-2 1000 metres,,1964 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's pole vault,Men's Pole vault,1920 Summer Olympics
Swimming at the 1996 Summer Olympics - Men's 4 x 200 metre freestyle relay,Men's 4x200m freestyle relay,1996 Summer Olympics
Athletics at the 2000 Summer Olympics - Women's heptathlon,Women's Heptathlon,2000 Summer Olympics
Athletics at the 1992 Summer Olympics - Women's 4 x 400 metres relay,,1992 Summer Olympics
Gymnastics at the 2004 Summer Olympics - Men's parallel bars,Men's Parallel bars,2004 Summer Olympics
Diving at the 1920 Summer Olympics - Women's 3 metre springboard,Women's 3 metre springboard,1920 Summer Olympics
Swimming at the 1980 Summer Olympics - Men's 200 metre breaststroke,Men's 200m breaststroke,1980 Summer Olympics
Taekwondo at the 2004 Summer Olympics - Men's 80 kg,Men's Taekwondo; Middleweight 68 - 80 kg,2004 Summer Olympics
Athletics at the 1948 Summer Olympics – Men's 10000 metres,Men's Athletics; 10000m,1948 Summer Olympics
Luge at the 2006 Winter Olympics - Men's Singles,Men's Singles,2006 Winter Olympics
Swimming at the 1976 Summer Olympics - Men's 100 metre freestyle,Men's 100m freestyle,1976 Summer Olympics
Boxing at the 2004 Summer Olympics - Light Welterweight,Men's Boxing; 60 - 64 kg (light welterweight),2004 Summer Olympics
Sailing at the 1900 Summer Olympics - Open class,,1900 Summer Olympics
Sailing at the 1972 Summer Olympics – Star,,
Taekwondo at the 2008 Summer Olympics - Women's +67 kg,Women's Taekwondo; Heavyweight + 67 kg,2008 Summer Olympics
Athletics at the 2008 Summer Olympics - Women's 5000 metres,Women's Athletics; 5000m,2008 Summer Olympics
Speed skating at the 1936 Winter Olympics - Men's 10000 metres,Men's 10000m,1936 Winter Olympics
Equestrian at the 2008 Summer Olympics - Team jumping,Jumping; team,2008 Summer Olympics
Shooting at the 1988 Summer Olympics - Men's 50 metre pistol,Men's 50m pistol,1988 Summer Olympics
Rowing at the 2008 Summer Olympics - Women's quadruple sculls,Women's Quadruple sculls without coxswain,2008 Summer Olympics
Athletics at the 1984 Summer Olympics - Women's 200 metres,Women's Athletics; 200m,1984 Summer Olympics
Shooting at the 1992 Summer Olympics - Women's 25 metre pistol,Women's 25m pistol,1992 Summer Olympics
Judo at the 2008 Summer Olympics - Men's Half Middleweight  (81 kg),Men's Judo; 73 - 81kg (half-middleweight),2008 Summer Olympics
Canoeing at the 1988 Summer Olympics - Men's K-2 500 metres,,
Canoeing at the 1988 Summer Olympics - Women's K-2 500 metres,,
Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Heavyweight,Men's Greco-Roman Wrestling; Heavyweight 90-100kg,1976 Summer Olympics
Athletics at the 1928 Summer Olympics - Men's hammer throw,Men's Hammer throw,1928 Summer Olympics
Swimming at the 1988 Summer Olympics - Women's 100 metre butterfly,Women's 100m butterfly,1988 Summer Olympics
Athletics at the 1928 Summer Olympics - Men's 10000 metres,Men's Athletics; 10000m,1928 Summer Olympics
Athletics at the 1980 Summer Olympics - Men's 4 x 400 metres relay,,
Shooting at the 1972 Summer Olympics - Men's 50 metre rifle; three positions,Men's 50m rifle 3 positions,1972 Summer Olympics
Rowing at the 1984 Summer Olympics - Men's Single Sculls,Men's Single sculls,1984 Summer Olympics
Gymnastics at the 1992 Summer Olympics – Men's Floor Exercises,Men's Floor exercises,1992 Summer Olympics
Boxing at the 1968 Summer Olympics - Lightweight,Men's Boxing; Lightweight 57 - 60kg,1968 Summer Olympics
Swimming at the 1960 Summer Olympics – Men's 4 x 200 metre freestyle relay,Men's 4x200m freestyle relay,1960 Summer Olympics
Snowboarding at the 2010 Winter Olympics – Women's parallel giant slalom,Women's Parallel Giant Slalom,2010 Winter Olympics
Swimming at the 1972 Summer Olympics - Women's 100 metre backstroke,Women's 100m backstroke,1972 Summer Olympics
Short track speed skating at the 2010 Winter Olympics – Men's 500 metres,Men's 500m,2010 Winter Olympics
Speed skating at the 2010 Winter Olympics – Men's team pursuit,Men's Team Pursuit,2010 Winter Olympics
Cycling at the 2012 Summer Olympics – Women's team sprint,Women's Track Cycling; Team Sprint,2012 Summer Olympics
Judo at the 2012 Summer Olympics – Men's 81 kg,Men's Judo; 73 - 81kg (half-middleweight),2012 Summer Olympics
Boxing at the 2012 Summer Olympics – Women's middleweight,Women's Boxing; Middleweight 75kg,2012 Summer Olympics
Athletics at the 1972 Summer Olympics – Women's 1500 metres,,
Gymnastics at the 2008 Summer Olympics – Women's rhythmic individual all-around,Women's Rhythmic gymnastics; individual all-round,2008 Summer Olympics
Gymnastics at the 2008 Summer Olympics – Women's artistic individual all-around,Women's Gymnastics; individual all-round,2008 Summer Olympics
Shooting at the 2000 Summer Olympics - Men's 50 metre rifle; three positions,Men's 50m rifle 3 positions,2000 Summer Olympics
Boxing at the 1932 Summer Olympics - Men's lightweight,Men's boxing; lightweight 57.2-61.2 kg,1932 Summer Olympics
Shooting at the 1996 Summer Olympics - Men's 50 metre rifle; prone,Men's 50m rifle prone,1996 Summer Olympics
Football at the 2000 Summer Olympics - Women's tournament,,
Swimming at the 2004 Summer Olympics - Men's 400 metre freestyle,Men's 400m freestyle,2004 Summer Olympics
Rowing at the 2004 Summer Olympics - Men's Eight,,2004 Summer Olympics
Athletics at the 1924 Summer Olympics – Men's 100 metres,Men's Athletics; 100m,1924 Summer Olympics
Archery at the 1996 Summer Olympics - Men's team,,1996 Summer Olympics
Cross-Country Skiing at the 1948 Winter Olympics - Men's 18 km,Men's Cross-Country; 18km,1948 Winter Olympics
Athletics at the 2004 Summer Olympics - Women's 200 metres,Women's Athletics; 200m,2004 Summer Olympics
Wrestling at the 2000 Summer Olympics - Men's freestyle Flyweight,Men's Freestyle Wrestling;  Flyweight 54kg,2000 Summer Olympics
Swimming at the 1928 Summer Olympics - Men's 200 metre breaststroke,Men's 200m breaststroke,1928 Summer Olympics
Wrestling at the 1988 Summer Olympics - Men's freestyle Super Heavyweight,Men's Freestyle Wrestling; Super Heavyweight 100-130 kg,1988 Summer Olympics
Gymnastics at the 1924 Summer Olympics - Men's Vault,Men's Vault,1924 Summer Olympics
Wrestling at the 2000 Summer Olympics - Men's freestyle Middleweight,Men's Freestyle Wrestling; Middleweight 76-85 kg,2000 Summer Olympics
Shooting at the 2008 Summer Olympics - Men's 50 metre rifle; prone,Men's 50m rifle prone,2008 Summer Olympics
Figure skating at the 1924 Winter Olympics - Men's singles,Figure skating - Men's singles,1924 Winter Olympics
Wrestling at the 1972 Summer Olympics - Men's freestyle Super Heavyweight,Men's Wrestling; Freestyle Super Heavyweight + 100kg,1972 Summer Olympics
Rowing at the 2004 Summer Olympics - Men's eight with coxswain,,2004 Summer Olympics
Rowing at the 2004 Summer Olympics - Men's Coxless Four,,2004 Summer Olympics
Wrestling at the 1984 Summer Olympics - Men's Greco-Roman Light Flyweight,Men's Greco-Roman Wrestling; Light Flyweight  -48kg,1984 Summer Olympics
Canoeing at the 2000 Summer Olympics - Men's slalom C-2,,
Athletics at the 2000 Summer Olympics – Women's 400 metres,Women's Athletics; 400m,2000 Summer Olympics
Cross-country Skiing at the 2002 Winter Olympics - Men's 50km,Men's Cross-country; 50km,2002 Winter Olympics
Freestyle skiing at the 1998 Winter Olympics - Men's moguls,Men's Moguls,1998 Winter Olympics
Nordic combined at the 2006 Winter Olympics – Sprint,Men's Nordic Combined Sprint,2006 Winter Olympics
Athletics at the 1928 Summer Olympics - Men's shot put,Men's Shot put,1928 Summer Olympics
Speed Skating at the 2002 Winter Olympics -  Women's 1500m,Women's 1500m,2002 Winter Olympics
Luge at the 1998 Winter Olympics - Men's Singles,Men's Singles,1998 Winter Olympics
Handball at the 1996 Summer Olympics - Men's tournament,Men's handball,1996 Summer Olympics
Speed Skating at the 1998 Winter Olympics - Women's 1000m,Women's 1000m,1998 Winter Olympics
Gymnastics at the 1932 Summer Olympics - Men's parallel bars,Men's Parallel bars,1932 Summer Olympics
Cycling at the 2004 Summer Olympics - Women's Time Trial,Women'sTrack Cycling;  Time Trial,2004 Summer Olympics
Gymnastics at the 1928 Summer Olympics - Men's pommel horse,Men's Pommel horse,1928 Summer Olympics
Biathlon at the 1988 Winter Olympics - Men's 20km Individual,Men's 20 km Individual,1988 Winter Olympics
Luge at the 1976 Winter Olympics - Women's Singles,Women's Singles,1976 Winter Olympics
Modern Pentathlon  at the 1956 Summer Olympics - Men's Individual,Men's Modern pentathlon,1956 Summer Olympics
Figure Skating at the 1972 Winter Olympics - Women's Singles,Women's Singles,1972 Winter Olympics
Swimming at the 1948 Summer Olympics - Men's 200 metre breaststroke,Men's 200m breaststroke,1948 Summer Olympics
Weightlifting at the 1948 Summer Olympics - Men's Lightweight 60-67.5 kg,Men's Weightlifting; Lightweight 60-67.5kg,1948 Summer Olympics
Gymnastics at the 1968 Summer Olympics – Men's vault,Men's Vault,1968 Summer Olympics
Sailing at the 2004 Summer Olympics - Star class,,2004 Summer Olympics
Shooting at the 1932 Summer Olympics - Men's 25 metre rapid fire pistol,Men's 25m rapid fire pistol,1932 Summer Olympics
Canoeing at the 1948 Summer Olympics - Men's C-2 1000 metres,,
Wrestling at the 1988 Summer Olympics - Men's Freestyle Heavyweight,Men's Freestyle Wrestling; Heavyweight 90-100kg,1988 Summer Olympics
Athletics at the 2008 Summer Olympics - Men's 400 metres,Men's Athletics; 400m,2008 Summer Olympics
Athletics at the 1992 Summer Olympics - Men's 50 km walk,Men's 50km walk,1992 Summer Olympics
Athletics at the 1988 Summer Olympics - Men's triple jump,Men's Triple jump,1988 Summer Olympics
Canoeing at the 1936 Summer Olympics - Men's K-2 1000 metres,,
Diving at the 2008 Summer Olympics - Men's Synchronised 3m Springboard,,2008 Summer Olympics
Ice hockey at the 2010 Winter Olympics – Men's tournament,Men's Ice Hockey,2010 Winter Olympics
Swimming at the 1968 Summer Olympics – Men's 200 metre individual medley,Men's 200m individual medley,1968 Summer Olympics
Short track speed skating at the 2010 Winter Olympics – Men's 1500 metres,Men's 1500 m,2010 Winter Olympics
Swimming at the 1960 Summer Olympics – Women's 100 metre butterfly,Women's 100m butterfly,1960 Summer Olympics
Athletics at the 1900 Summer Olympics - Men's standing high jump,Standing High Jump,1900 Summer Olympics
Judo at the 1972 Summer Olympics - Men's Half-Heavyweight (93kg),Men's Judo; 93kg (Half Heavyweight),1972 Summer Olympics
Gymnastics at the 1972 Summer Olympics – Men's artistic team all-around,,
Badminton at the 2000 Summer Olympics - Men's Singles,Men's Badminton; singles,2000 Summer Olympics
Biathlon at the 2006 Winter Olympics,,
Weightlifting at the 1984 Summer Olympics - Men's Featherweight 56-60 kg,Men's Weightlifting; Featherweight 56-60kg,1984 Summer Olympics
Gymnastics at the 1976 Summer Olympics – Women's Floor,Women's Floor exercises,1976 Summer Olympics
Table Tennis at the 2012 Summer Olympics- Women's Team,Women's Table tennis; team,2012 Summer Olympics
Badminton at the 2012 Summer Olympics – Men's singles,Men's Badminton; singles,2012 Summer Olympics
Cycling at the 2012 Summer Olympics – Men's road time trial,Men's Road Cycling; Individual Time Trial,2012 Summer Olympics
Athletics at the 1972 Summer Olympics – Women's long jump,,
Diving at the 1980 Summer Olympics - Women's 3 metre springboard,Women's 3 metre springboard,1980 Summer Olympics
Swimming at the 1996 Summer Olympics - Women's 200 metre backstroke,Women's 200m backstroke,1996 Summer Olympics
Swimming at the 1984 Summer Olympics - Men's 200 metre butterfly,Men's 200m butterfly,1984 Summer Olympics
Athletics at the 1988 Summer Olympics - Women's High Jump,Women's High jump,1988 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's long jump,Men's Long jump,1920 Summer Olympics
Tennis at the 1996 Summer Olympics - Men's Doubles,,1996 Summer Olympics
Swimming at the 1984 Summer Olympics - Men's 200 metre individual medley,Men's 200m individual medley,1984 Summer Olympics
Tennis at the 1904 Summer Olympics - Men's Singles,Men's Tennis; singles,1904 Summer Olympics
Water polo at the 1928 Summer Olympics,,
Equestrian at the 1964 Summer Olympics - Individual jumping,Jumping; individual,1964 Summer Olympics
Athletics at the 1984 Summer Olympics - Men's Marathon,Men's Marathon,1984 Summer Olympics
Swimming at the 1984 Summer Olympics - Men's 200 metre freestyle,Men's 200m Freestyle,1984 Summer Olympics
Wrestling at the 2000 Summer Olympics - Men's Greco-Roman Bantamweight,Men's Greco-Roman Wrestling; Bantamweight 54-58 kg,2000 Summer Olympics
Canoeing at the 1972 Summer Olympics - Men's C-2 1000 metres,,
Wrestling at the 1980 Summer Olympics - Men's freestyle Lightweight,Men's Freestyle; Lightweight 62-68kg,1980 Summer Olympics
Canoeing at the 2008 Summer Olympics - Men's slalom C-2,Men's C-2 (canoe double),2008 Summer Olympics
Modern pentathlon at the 2008 Summer Olympics – Men's,,
Wrestling at the 1920 Summer Olympics - Men's freestyle light heavyweight,Men's Freestyle Wrestling; Light Heavyweight 75-82.5kg,1920 Summer Olympics
Athletics at the 2004 Summer Olympics - Men's 100 metres,Men's Athletics; 100m,2004 Summer Olympics
Shooting at the 1920 Summer Olympics - Trap,Olympic trap,1920 Summer Olympics
Canoeing at the 1988 Summer Olympics - Men's C-2 1000 metres,,
Wrestling at the 1992 Summer Olympics - Men's Greco-Roman Welterweight,Men's Greco-Roman Wrestling; Welterweight 68-74kg,1992 Summer Olympics
Canoeing at the 1988 Summer Olympics - Men's K-1 500 metres,Men's K-1 500m (kayak single),1988 Summer Olympics
Water polo at the 2000 Summer Olympics - Women's,Women's water polo,2000 Summer Olympics
Wrestling at the 2000 Summer Olympics - Men's Greco-Roman Welterweight,Men's Greco Roman Wrestling; Welterweight 69-76 kg,2000 Summer Olympics
Shooting at the 1996 Summer Olympics - Men's 50 metre rifle; three positions,Men's 50m rifle 3 positions,1996 Summer Olympics
Shooting at the 1996 Summer Olympics - Women's 25 metre pistol,Women's 25m pistol,1996 Summer Olympics
Athletics at the 2008 Summer Olympics - Men's shot put,Men's Shot put,2008 Summer Olympics
Wrestling at the 2008 Summer Olympics - Men's Greco-Roman Heavyweight,Men's Greco-Roman Wrestling; Heavyweight 84-96 kg,2008 Summer Olympics
Biathlon at the 2002 Winter Olympics,,
Athletics at the 1964 Summer Olympics - Women's Discus Throw,Women's Discus throw,1964 Summer Olympics
Swimming at the 1972 Summer Olympics - Women's 4 x 100 metre freestyle relay,Women's 4x100m freestyle relay,1972 Summer Olympics
Swimming at the 1964 Summer Olympics – Men's 4 x 100 metre medley relay,,
Canoeing at the 2000 Summer Olympics - Women's slalom K-1,Women's K-1 (kayak single),2000 Summer Olympics
Speed Skating at the 1960 Winter Olympics - Men's 1500m,Men's 1500m,1960 Winter Olympics
Speed Skating at the 1998 Winter Olympics – Women’s 5000m,Women's 5000 m,1998 Winter Olympics
Handball at the 1992 Summer Olympics - Women's tournament,Women's handball,1992 Summer Olympics
Fencing at the 1968 Summer Olympics – Women's foil,,
