country;event;medal;medalist;olympics
China;Gymnastics;1996 Summer Olympics;Men's Horizontal Bar;Bronze medal;Bin Fan;1996 Summer Olympics
Switzerland;Alpine skiing;2010 Winter Olympics;Men's Super Combined;Bronze medal;Silvan Zurbriggen;2010 Winter Olympics
Germany;Biathlon;2010 Winter Olympics;Women's mass start;Gold medal;Magdalena Neuner;2010 Winter Olympics
United States of America;Short track speed skating;2010 Winter Olympics;Women's 1000 metres;Silver medal;Katherine Reutter;2010 Winter Olympics
Czech Republic;Cross-country skiing;2010 Winter Olympics;Men's 4 x 10 kilometre relay;Bronze medal;Martin Jakš;Lukáš Bauer;Martin Koukal;Ji?í Magál;2010 Winter Olympics
Russia;Tennis;2012 Summer Olympics;Women's Singles;Silver medal;Maria Sharapova;2012 Summer Olympics
Lithuania;Swimming;2012 Summer Olympics;Women's 100 metre breaststroke;Gold medal;R?ta Meilutyt?;2012 Summer Olympics
Australia;Swimming;2012 Summer Olympics;Women's 100 metre butterfly;Bronze medal;Alicia Coutts;2012 Summer Olympics
South Korea;Shooting;2012 Summer Olympics;Men's 10 metre air pistol;Gold medal;Jin Jong-Oh;2012 Summer Olympics
Ethiopia;Athletics;2012 Summer Olympics;Women's 5000 metres;Bronze medal;Tirunesh Dibaba;2012 Summer Olympics
Switzerland;Cycling;2012 Summer Olympics;Men's cross-country;Silver medal;Nino Schurter;2012 Summer Olympics
Armenia;Wrestling;2012 Summer Olympics;Men's Greco-Roman 96 kg;Bronze medal;Artur Aleksanyan;2012 Summer Olympics
Kenya;Athletics;2012 Summer Olympics;Men's 3000 metres steeplechase;Gold medal;Ezekiel Kemboi;2012 Summer Olympics
China;Athletics;2012 Summer Olympics;Men's 20 kilometres walk;Gold medal;Chen Ding;2012 Summer Olympics
United Kingdom;Boxing;2012 Summer Olympics;Men's bantamweight;Gold medal;Luke Campbell;2012 Summer Olympics
Kenya;Athletics;2012 Summer Olympics;Women's 10.000 metres;Bronze medal;Vivian Cheruiyot;2012 Summer Olympics
Russia;Swimming;2012 Summer Olympics;Men's 4 x 100 metre freestyle relay;Bronze medal;Nikita Lobintsev;2012 Summer Olympics
Japan;Judo;2012 Summer Olympics;Men's 90 kg;Bronze medal;Masashi Nishiyama;2012 Summer Olympics
Australia;Cycling;2012 Summer Olympics;Men's team pursuit;Silver medal;Michael Hepburn;Glenn O'Shea;Rohan Dennis;Jack Bobridge;2012 Summer Olympics
Netherlands;Equestrian;2012 Summer Olympics;Team jumping;Silver medal;Jur Vrieling;Gerco Schröder;Maikel van der Vleuten;Marc Houtzager;2012 Summer Olympics
Canada;Football;2012 Summer Olympics;Women's tournament;Bronze medal;Marie-Eve Nault;Brittany Timko;Karina LeBlanc;Desiree Scott;Christine Sinclair;Rhian Wilkinson;Robyn Gayle;Sophie Schmidt;Lauren Sesselmann;Melanie Booth;Carmelina Moscato;Kelly Parker;Erin McLeod;Jonelle Filigno;Candace Chapman;Kaylyn Kyle;Melissa Tancredi;Diana Matheson;Chelsea Stewart;Emily Zurrer;2012 Summer Olympics
United States of America;Beach volleyball;2012 Summer Olympics;Women's tournament;Silver medal;Jennifer Kessy;April Ross;2012 Summer Olympics
China;Badminton;2012 Summer Olympics;Men's doubles;Gold medal;Cai Yun;Fu Haifeng;2012 Summer Olympics
Poland;Shooting;2012 Summer Olympics;Women's 10 metre air rifle;Silver medal;Sylwia Bogacka;2012 Summer Olympics
China;Diving;2012 Summer Olympics;Women's synchronized 3 metre springboard;Gold medal;He Zi;Wu Minxia;2012 Summer Olympics
Russia;Diving;2000 Summer Olympics;Men's 10 metre platform;Bronze medal;Dmitri Sautin;2000 Summer Olympics
France;Swimming;2008 Summer Olympics;Men's 50 metre freestyle;Bronze medal;Alain Bernard;2008 Summer Olympics
Estonia;Athletics;2004 Summer Olympics;Men's discus throw;Bronze medal;Aleksander Tammert;2004 Summer Olympics
Germany;Diving;1996 Summer Olympics;Women's 10 metre platform;Silver medal;Annika Walter;1996 Summer Olympics
Italy;Swimming;2008 Summer Olympics;Women's 200 metre freestyle;Gold medal;Federica Pellegrini;2008 Summer Olympics
Ukraine;Fencing;2008 Summer Olympics;Women's team sabre;Gold medal;Halyna Pundyk;Olha Zhovnir;Olga Kharlan;Olena Khomrova;2008 Summer Olympics
;Softball;2008 Summer Olympics;Gold medal;;2008 Summer Olympics
Australia;Swimming;2008 Summer Olympics;Women's 100 metre breaststroke;Gold medal;Leisel Jones;2008 Summer Olympics
South Africa;Swimming;2012 Summer Olympics;Men's 200 metre butterfly;Gold medal;Chad le Clos;2012 Summer Olympics
France;Canoeing;2012 Summer Olympics;Men's slalom C-1;Gold medal;Tony Estanguet;2012 Summer Olympics
Netherlands;Cycling;2012 Summer Olympics;Women's road race;Gold medal;Marianne Vos;2012 Summer Olympics
United States of America;Shooting;2012 Summer Olympics;Women's Skeet;Gold medal;Kim Rhode;2012 Summer Olympics
Germany;Cycling;1912 Summer Olympics;Men's individual time trial;;Josef Rieder;1912 Summer Olympics
United States of America;Diving;1960 Summer Olympics;Men's 10 metre platform;Gold medal;Robert David Webster;1960 Summer Olympics
New Zealand;Rowing;2008 Summer Olympics;Women's double sculls;Gold medal;Georgina Evers-Swindell;Caroline Evers-Swindell;2008 Summer Olympics
Togo;Canoeing;2008 Summer Olympics;Men's slalom K-1;Bronze medal;Benjamin Kudjow Thomas Boukpeti;2008 Summer Olympics
Brazil;Volleyball;2008 Summer Olympics;Men's beach volleyball;Silver medal;Fabio Luiz Magalhães;Marcio Araujo;2008 Summer Olympics
United States of America;Swimming;2008 Summer Olympics;Men's 200 metre backstroke;Gold medal;Ryan Lochte;2008 Summer Olympics
United States of America;Fencing;2008 Summer Olympics;Women's sabre;Gold medal;Mariel Zagunis;2008 Summer Olympics
United States of America;Swimming;2000 Summer Olympics;Women's 4x100 metre medley relay;Gold medal;Staciana Stitts;2000 Summer Olympics
China;Athletics;2008 Summer Olympics;Women's marathon;Bronze medal;Zhou Chunxiu;2008 Summer Olympics
United States of America;Diving;1972 Summer Olympics;Men's 3 metre springboard;Bronze medal;Craig Howard Lincoln;1972 Summer Olympics
Australia;Canoeing;2008 Summer Olympics;Men's slalom C-1;Bronze medal;Robin Bell;2008 Summer Olympics
Uzbekistan;Judo;2008 Summer Olympics;Men's Heavyweight (+100 kg);Silver medal;Abdullo Tangriev;2008 Summer Olympics
Slovenia;Swimming;2008 Summer Olympics;Women's 200 metre freestyle;Silver medal;Sara Isakovi?;2008 Summer Olympics
Australia;Rowing;2008 Summer Olympics;Men's double sculls;Gold medal;Scott Brennan;David Crawshay;2008 Summer Olympics
Norway;Rowing;2008 Summer Olympics;Men's Single Sculls;Gold medal;Olaf Tufte;2008 Summer Olympics
China;Diving;2008 Summer Olympics;Men's Synchronised 3m Springboard;Gold medal;Qin Kai;Wang Feng;2008 Summer Olympics
Germany;Luge;2010 Winter Olympics;Men's singles;Silver medal;David Möller;2010 Winter Olympics
Soviet Union;Swimming;1976 Summer Olympics;Men's 4 x 200 metre freestyle relay;Silver medal;Vladimir Raskatov;Sergey Kopliakov;Andrey Krylov;Andrei Bogdanov;1976 Summer Olympics
France;Tennis;2012 Summer Olympics;Men's Doubles;Bronze medal;Richard Gasquet;Julien Benneteau;2012 Summer Olympics
United States of America;Swimming;2012 Summer Olympics;Women's 4 x 100 metre medley relay;Gold medal;Rebecca Soni;Jessica Hardy;Allison Schmitt;Breeja Larson;Claire Donahue;Missy Franklin;Dana Vollmer;Eric Shanteau;Rachel Bootsma;2012 Summer Olympics
Bahamas;Athletics;2012 Summer Olympics;Men's 4 x 400 metres relay;Gold medal;Ramon Miller;Christopher Brown;Michael Mathieu;Demetrius Pinder;2012 Summer Olympics
China;Table Tennis;2012 Summer Olympics;Women's Team;Gold medal;Ding Ning;Li Xiaoxia;Guo Yue;2012 Summer Olympics
China;Table tennis;2012 Summer Olympics;Men's singles;Gold medal;Zhang Jike;2012 Summer Olympics
North Korea;Weightlifting;2012 Summer Olympics;Women's 69 kg;Gold medal;Jong Sim Rim;2012 Summer Olympics
United Kingdom;Gymnastics;2012 Summer Olympics;Men's artistic team all-around;Bronze medal;Louis Smith;Max Whitlock;Sam Oldham;Kristian Thomas;Daniel Purvis;2012 Summer Olympics
Russia;Boxing;2012 Summer Olympics;Men's flyweight;Bronze medal;Misha Aloyan;2012 Summer Olympics
Poland;Swimming;2012 Summer Olympics;Women's 400 metre individual medley;;Karolina Szczepaniak;2012 Summer Olympics
Russia;Judo;2012 Summer Olympics;Men's +100 kg;Silver medal;Aleksandr Mikhailine;2012 Summer Olympics
United States of America;Swimming;1908 Summer Olympics;Men's 100 metre freestyle;Gold medal;Charles Daniels;1908 Summer Olympics
Greece;Weightlifting;1996 Summer Olympics;Men's Middle Heavyweight 83-91 kg;Silver medal;Leonidas Kokas;1996 Summer Olympics
Switzerland;Gymnastics;1996 Summer Olympics;Men's pommel horse;Gold medal;Donghua Li;1996 Summer Olympics
Russia;Cycling;1912 Summer Olympics;Men's individual time trial;;Andrejs Aps?tis;1912 Summer Olympics
United Kingdom;Cycling;1912 Summer Olympics;Men's individual time trial;;Ralph Mecredy;1912 Summer Olympics
Sweden;Cycling;1912 Summer Olympics;Men's individual time trial;;Henrik Morén;1912 Summer Olympics
United Team of Germany;Wrestling;1964 summer Olympics;Men's Greco-Roman Middleweight;Bronze medal;Lothar Metz;1964 Summer Olympics
Canada;Synchronized swimming;1984 Summer Olympics;Women's solo;Silver medal;Carolyn Waldo;1984 Summer Olympics
United Team of Germany;Athletics;1964 Summer Olympics;Women's Discus Throw;Silver medal;Ingrid Lotz;1964 Summer Olympics
Sweden;Ice hockey;2002 Winter Olympics;Women’s Team;Bronze medal;Erika Holst;2002 Winter Olympics
Croatia;Alpine skiing;2006 Winter Olympics;Men's Combined;Silver medal;Ivica Kosteli?;2006 Winter Olympics
Poland;Athletics;2004 Summer Olympics;Men's 50 km Walk;Gold medal;Robert Korzeniowski;2004 Summer Olympics
United States of America;Swimming;2004 Summer Olympics;Men's 100 metre butterfly;Silver medal;Ian Crocker;2004 Summer Olympics
South Korea;Judo;2000 Summer Olympics;Women's +78 kg;Bronze medal;Seon-Young Kim;2000 Summer Olympics
United Team of Germany;Athletics;1964 Summer Olympics;Men's decathlon;Gold medal;Willi Holdorf;1964 Summer Olympics
Romania;Athletics;2000 Summer Olympics;Women's marathon;Silver medal;Lidia Simon;2000 Summer Olympics
Soviet Union;Judo;1964 Summer Olympics;Heavyweight;Bronze medal;Anzor Kiknadze;1964 Summer Olympics
Italy;Judo;1996 Summer Olympics;Men's Extra Lightweight (-60 kg);Silver medal;Girolamo Giovinazzo;1996 Summer Olympics
Norway;Sailing;2004 Summer Olympics;Women's Europe;Gold medal;Siren Sundby;2004 Summer Olympics
Latvia;Athletics;2000 Summer Olympics;Men's 50 km walk;Silver medal;Aigars Fadejevs;2000 Summer Olympics
Lithuania;Shooting;2000 Summer Olympics;Women's Trap;Gold medal;Daina Gudzinevi?i?t?;2000 Summer Olympics
Soviet Union;Fencing;1968 Summer Olympics;Men's Épée, Individual;Silver medal;Grigory Kriss;1968 Summer Olympics
Hungary;Swimming;1972 Summer Olympics;Men's 400 metre individual medley;Bronze medal;András Hargitay;1972 Summer Olympics
Canada;Cycling;2000 Summer Olympics;Men's cross-country;;Roland Green;2000 Summer Olympics
United Kingdom;Wrestling;1984 Summer Olympics;Men's Freestyle Light heavyweight;Bronze medal;Noel Loban;1984 Summer Olympics
China;Diving;2000 Summer Olympics;Women's 3 metre springboard;Gold medal;Fu Mingxia;2000 Summer Olympics
Poland;Judo;1988 Summer Olympics;Men's Half Lightweight (65kg);Silver medal;Janusz Paw?owski;1988 Summer Olympics
China;Gymnastics;2000 Summer Olympics;Women's Balance Beam;Gold medal;Liu Xuan;2000 Summer Olympics
China;Short Track Speed Skating;1998 Winter Olympics;Women's 3000 m relay;Silver medal;Wang Chunlu;1998 Winter Olympics
Russia;Athletics;2004 Summer Olympics;Women's Hammer Throw;Gold medal;Olga Kuzenkova;2004 Summer Olympics
Russia;Weightlifting;2000 Summer Olympics;Men's Middle Heavyweight 85- 94 kg;Bronze medal;Aleksey Petrov;2000 Summer Olympics
Soviet Union;Swimming;1988 Summer Olympics;Men's 200 metre backstroke;Gold medal;Igor Polyansky;1988 Summer Olympics
Cuba;Judo;2004 Summer Olympics;Men's Half Lightweight (66 kg);Bronze medal;Yordanis Arencibia;2004 Summer Olympics
Cuba;Wrestling;1992 Summer Olympics;Men's Freestyle Featherweight;Bronze medal;Lazaro Reinoso Martinez;1992 Summer Olympics
United States of America;Wrestling;1996 Summer Olympics;Men's freestyle Lightweight;Silver medal;Townsend Saunders;1996 Summer Olympics
United States of America;Swimming;1964 Summer Olympics;Women's 100 metre freestyle;Silver medal;Sharon Stouder;1964 Summer Olympics
United States of America;Figure Skating;1992 Winter Olympics;Women's Singles;Gold medal;Kristi Yamaguchi;1992 Winter Olympics
United States of America;Wrestling;1956 Summer Olympics;Men's Freestyle Middleweight;Silver medal;Daniel Allen Hodge;1956 Summer Olympics
Slovenia;Athletics;1996 Summer Olympics;Women's 100 metres hurdles;Silver medal;Brigita Bukovec;1996 Summer Olympics
United States of America;Athletics;1972 Summer Olympics;Men's Pole Vault;Silver medal;Bob Seagren;1972 Summer Olympics
United Team of Germany;Athletics;1960 Summer Olympics;Men's 5000 metres;Silver medal;Hans Grodotzki;1960 Summer Olympics
Finland;Gymnastics;1932 Summer Olympics;Men's Horizontal Bar;Silver medal;Heikki Savolainen;1932 Summer Olympics
West Germany;Wrestling;1972 Summer Olympics;Men's Greco-Roman Bantamweight;Silver medal;Hans-Jürgen Veil;1972 Summer Olympics
Ethiopia;Athletics;1996 Summer Olympics;Women's Marathon;Gold medal;Fatuma Roba;1996 Summer Olympics
United Kingdom;Athletics;1924 Summer Olympics;Men's 400 metres;Bronze medal;Guy Butler;1924 Summer Olympics
Canada;Alpine Skiing;1988 Winter Olympics;Women's Downhill;Bronze medal;Karen Percy;1988 Winter Olympics
Netherlands;Speed Skating;1988 Winter Olympics;Women's 5000m;Gold medal;Yvonne van Gennip;1988 Winter Olympics
Norway;Biathlon;1984 Winter Olympics;Men's 20km Individual;Bronze medal;Eirik Kvalfoss;1984 Winter Olympics
United States of America;Cycling;1992 Summer Olympics;Women's  Individual Pursuit;Bronze medal;Rebecca Twigg;1992 Summer Olympics
Finland;Boxing;1932 Summer Olympics;Men's welterweight;Bronze medal;Bruno Ahlberg;1932 Summer Olympics
China;Swimming;1992 Summer Olympics;Women's 400 metre Individual Medley;Silver medal;Lin Li;1992 Summer Olympics
Austria;Canoeing;1936 Summer Olympics;Men's K-1 10000 metres;Silver medal;Fritz Landertinger;1936 Summer Olympics
United Team of Germany;Athletics;1956 Summer Olympics;Women's shot put;Bronze medal;Marianne Werner;1956 Summer Olympics
Sweden;Athletics;1912 Summer Olympics;Men's triple jump;Silver medal;Georg Åberg;1912 Summer Olympics
Australia;Swimming;1972 Summer Olympics;Women's 400 metre freestyle;Gold medal;Shane Gould;1972 Summer Olympics
German Democratic Republic;Athletics;1972 Summer Olympics;Shot Put Men;Bronze medal;Hartmut Briesenick;1972 Summer Olympics
France;Wrestling;1932 Summer Olympics;Greco-Roman Bantamweight;Bronze medal;Louis Francois;1932 Summer Olympics
France;Fencing;1924 Summer Olympics;Men's foil;Gold medal;Roger Ducret;1924 Summer Olympics
Jamaica;Athletics;2008 Summer Olympics;Women's 200 metres;Gold medal;Veronica Campbell;2008 Summer Olympics
United States of America;Athletics;1948 Summer Olympics;Men's long jump;Gold medal;Willie Steele;1948 Summer Olympics
Sweden;Equestrian;1912 Summer Olympics;Dressage, Individual;Silver medal;Gustaf Adolf Boltenstern;1912 Summer Olympics
Czechoslovakia;Gymnastics;1964 Summer Olympics;Women's artistic individual all-around;Gold medal;V?ra ?áslavská;1964 Summer Olympics
New Zealand;Cycling;2004 Summer Olympics;Men's individual road race;;Julian Dean;2004 Summer Olympics
Australia;Swimming;1960 Summer Olympics;Men's 1500 metre freestyle;Silver medal;Murray Rose;1960 Summer Olympics
United States of America;Speed Skating;1928 Winter Olympics;Men's 500m;Bronze medal;John Farrell;1928 Winter Olympics
Romania;Gymnastics;1996 Summer Olympics;Men's pommel horse;Silver medal;Marius Urzic?;1996 Summer Olympics
France;Cycling;2000 Summer Olympics;Women's Individual Pursuit;Silver medal;Marion Clignet;2000 Summer Olympics
Finland;Ski jumping;1998 Winter Olympics;Normal Hill;Gold medal;Jani Soininen;1998 Winter Olympics
Spain;Judo;1996 Summer Olympics;Women's 56 kg;Bronze medal;Isabel Fernandez;1996 Summer Olympics
Kazakhstan;Athletics;2000 Summer Olympics;Women's 100 metres hurdles;Gold medal;Olga Shishigina;2000 Summer Olympics
United Kingdom;Tennis;1900 Summer Olympics;Women's Singles;Gold medal;Charlotte Cooper;1900 Summer Olympics
Norway;Speed Skating;1948 Winter Olympics;Men's 5000m;Gold medal;Reidar Liaklev;1948 Winter Olympics
Soviet Union;Wrestling;1976 Summer Olympics;Men's Greco-Roman Flyweight;Gold medal;Vitali Konstantinov;1976 Summer Olympics
Nigeria;Taekwondo;2008 Summer Olympics;Men's +80 kg;Bronze medal;Chika Chukwumerije;2008 Summer Olympics
Switzerland;Wrestling;1948 Summer Olympics;Men's Freestyle Lightweight;Bronze medal;Hermann Baumann;1948 Summer Olympics
Ethiopia;Athletics;1992 Summer Olympics;Men's 10000 metres;Bronze medal;Addis Abebe;1992 Summer Olympics
Germany;Gymnastics;1936 Summer Olympics;Men's pommel horse;Gold medal;Konrad Frey;1936 Summer Olympics
Finland;Wrestling;1924 Summer Olympics;Men's Greco-Roman Light Heavyweight;Bronze medal;Onni Pellinen;1924 Summer Olympics
Ethiopia;Athletics;1992 Summer Olympics;Men's 5000 metres;Bronze medal;Fita Bayisa;1992 Summer Olympics
United Kingdom;Cycling;1952 Summer Olympics;Men's individual road race;;Desmond Robinson;1952 Summer Olympics
Poland;Athletics;1960 Summer Olympics;Men's 5000 metres;Bronze medal;Kazimierz Zimny;1960 Summer Olympics
Finland;Boxing;1952 Summer Olympics;Heavyweight;Bronze medal;Ilkka Koski;1952 Summer Olympics
South Korea;Boxing;1988 Summer Olympics;Light Middleweight;Gold medal;Park Si-Hun;1988 Summer Olympics
Austria;Equestrian;1980 Summer Olympics;Dressage, Individual;Gold medal;Elisabeth Theurer;1980 Summer Olympics
Romania;Athletics;1964 Summer Olympics;Women's Javelin Throw;Gold medal;Mihaela Pene?;1964 Summer Olympics
North Korea;Boxing;1992 Summer Olympics;Flyweight;Gold medal;Choi Chol-Su;1992 Summer Olympics
Sweden;Shooting;1912 Summer Olympics;Men's 25 metre rapid fire pistol;Silver medal;Paul Palén;1912 Summer Olympics
Soviet Union;Cross Country Skiing;1972 Winter Olympics;Women's 10km;Gold medal;Galina Kulakova;1972 Winter Olympics
Netherlands;Cycling;1920 Summer Olympics;Men's 50 kilometres;Bronze medal;Piet Ikelaar;1920 Summer Olympics
Soviet Union;Judo;1964 Summer Olympics;Lightweight (-68);Bronze medal;Oleg Stepanov;1964 Summer Olympics
Netherlands;Cycling;2000 Summer Olympics;Men's cross-country;;Patrick Tolhoek;2000 Summer Olympics
Germany;Diving;1912 Summer Olympics;Men's 3 metre springboard;Silver medal;Hans Luber;1912 Summer Olympics
Italy;Alpine Skiing;1960 Winter Olympics;Women's Giant Slalom;Bronze medal;Giuliana Minuzzo;1960 Winter Olympics
China;Weightlifting;2000 Summer Olympics;Men's Bantamweight -56 kg;Silver medal;Wenxiong Wu;2000 Summer Olympics
Norway;Shooting;1952 Summer Olympics;Running Deer; Single & Double Shot;Gold medal;John Larsen;1952 Summer Olympics
Japan;Swimming;1956 Summer Olympics;Men's 200 metre breaststroke;Silver medal;Masahiro Yoshimura;1956 Summer Olympics
Sweden;Handball;1996 Summer Olympics;Men's tournament;Silver medal;Magnus Andersson;1996 Summer Olympics
Finland;Speed Skating;1968 Winter Olympics;Women's 1500m;Gold medal;Kaija Mustonen;1968 Winter Olympics
United States of America;Athletics;1968 Summer Olympics;Men's long jump;Bronze medal;Ralph Boston;1968 Summer Olympics
United States of America;Swimming;1968 Summer Olympics;Women's 200 metre individual medley;Bronze medal;Jan Henne;1968 Summer Olympics
France;Swimming;1948 Summer Olympics;Men's 100 metre backstroke;Bronze medal;Georges Vallerey;1948 Summer Olympics
German Democratic Republic;Gymnastics;1972 Summer Olympics;Women's vault;Silver medal;Erika Zuchold;1972 Summer Olympics
Austria;Alpine skiing;2006 Winter Olympics;Men's Combined;Bronze medal;Rainer Schönfelder;2006 Winter Olympics
Germany;Tennis;1992 Summer Olympics;Women's Singles;Silver medal;Stefanie Graf;1992 Summer Olympics
United States of America;Athletics;1932 Summer Olympics;Men's 200 metres;Silver medal;George Simpson;1932 Summer Olympics
France;Cycling;1900 Summer Olympics;Men's 25 kilometres;Bronze medal;..... Daumain;1900 Summer Olympics
Japan;Short Track Speed Skating;1998 Winter Olympics;Men's 500m;Gold medal;Takafumi Nishitani;1998 Winter Olympics
Cuba;Athletics;1980 Summer Olympics;Women's Javelin Throw;Gold medal;María Colón;1980 Summer Olympics
Hungary;Fencing;1952 Summer Olympics;Men's Sabre, Individual;Gold medal;Pál Kovács;1952 Summer Olympics
United States of America;Athletics;1908 Summer Olympics;Men's marathon;Bronze medal;Joseph Forshaw;1908 Summer Olympics
Romania;Gymnastics;1980 Summer Olympics;Women's Uneven Bars;Bronze medal;Melita Ruhn;1980 Summer Olympics
United Kingdom;Equestrian;1936 Summer Olympics;Jumping, Individual;Bronze medal;József Platthy;1936 Summer Olympics
Australia;Swimming;1992 Summer Olympics;Men's 1500 metre freestyle;Silver medal;Glen Housman;1992 Summer Olympics
Croatia;Handball;2004 Summer Olympics;Men's handball;Gold medal;Igor Vori;Vlado Šola;Ivano Bali?;Petar Metli?i?;Slavko Goluža;Valter Matoševi?;Mirza Džomba;Venio Losert;2004 Summer Olympics
Sweden;Speed Skating;1972 Winter Olympics;Men's 500m;Silver medal;Hasse Börjes;1972 Winter Olympics
Soviet Union;Fencing;1988 Summer Olympics;Men's Épée, Individual;Bronze medal;Andrei Chouvalov;1988 Summer Olympics
Poland;Boxing;1952 Summer Olympics;Welterweight;Gold medal;Zygmunt Chych?a;1952 Summer Olympics
United States of America;Athletics;1904 Summer Olympics;Men's high jump;Silver medal;Garrett Serviss;1904 Summer Olympics
Cuba;Judo;1996 Summer Olympics;Men's Half Lightweight (65 kg);Bronze medal;Israel Hernández;1996 Summer Olympics
South Korea;Judo;1976 Summer Olympics;Open Category;Bronze medal;Je-Aki Cho;1976 Summer Olympics
United States of America;Tennis;1996 Summer Olympics;Women's Singles;Gold medal;Lindsay Davenport;1996 Summer Olympics
Ghana;Boxing;1972 Summer Olympics;Middleweight;Bronze medal;Prince Amartey;1972 Summer Olympics
Russia;Taekwondo;2000 Summer Olympics;Women's +67 kg;Silver medal;Natalia Ivanova;2000 Summer Olympics
Soviet Union;Gymnastics;1976 Summer Olympics;Men's Vault;Gold medal;Nikolai Andrianov;1976 Summer Olympics
Soviet Union;Athletics;1964 Summer Olympics;Women's shot put;Bronze medal;Galina Zybina;1964 Summer Olympics
Soviet Union;Athletics;1988 Summer Olympics;Men's discus throw;Silver medal;Romas Ubartas;1988 Summer Olympics
Italy;Canoeing;1992 Summer Olympics;Men's K-2 500 metres;Bronze medal;Bruno Dreossi;1992 Summer Olympics
Germany;Shooting;1932 Summer Olympics;Men's 25 metre rapid fire pistol;Silver medal;Heinz Hax;1932 Summer Olympics
United States of America;Athletics;1900 Summer Olympics;Men's 100 metres;Silver medal;John Tewksbury;1900 Summer Olympics
South Korea;Wrestling;1984 Summer Olympics;Men's freestyle Flyweight;Silver medal;Jong-Kyu Kim;1984 Summer Olympics
Austria;Alpine Skiing;1956 Winter Olympics;Women's Slalom;Silver medal;Regina Schöpf;1956 Winter Olympics
Japan;Judo;1964 Summer Olympics;Lightweight (-68);Gold medal;Takehide Nakatani;1964 Summer Olympics
Brazil;Athletics;1984 Summer Olympics;Men's 800 metres;Gold medal;Joaquim Cruz;1984 Summer Olympics
Liechtenstein;Cycling;1952 Summer Olympics;Men's individual road race;;Ewald Hasler;1952 Summer Olympics
Italy;Alpine Skiing;1992 Winter Olympics;Men's Combined;Silver medal;Gianfranco Martin;1992 Winter Olympics
Bulgaria;Athletics;1976 Summer Olympics;Women's shot put;Gold medal;Ivanka Hristova;1976 Summer Olympics
Switzerland;Alpine skiing;2010 Winter Olympics;Men's giant slalom;Gold medal;Carlo Janka;2010 Winter Olympics
Japan;Swimming;2008 Summer Olympics;Men's 4 x 100 metre medley relay;Bronze medal;Takuro Fujii;Kosuke Kitajima;Hisayoshi Sato;Junichi Miyashita;2008 Summer Olympics
United States of America;Freestyle skiing;2010 Winter Olympics;Women's moguls;Gold medal;Hannah Kearney;2010 Winter Olympics
Norway;Freestyle skiing;2010 Winter Olympics;Men's ski cross;Bronze medal;Audun  Groenvold;2010 Winter Olympics
Italy;Short track speed skating;2010 Winter Olympics;Women's 500 metres;Bronze medal;Arianna Fontana;2010 Winter Olympics
Belarus;Freestyle skiing;2010 Winter Olympics;Men's aerials;Gold medal;Alexei Grichin;2010 Winter Olympics
Germany;Bobsleigh;2010 Winter Olympics;Four-man;Silver medal;Martin Putze;Alexander Rödiger;André Lange;Kevin Kuske;2010 Winter Olympics
North Korea;Weightlifting;2012 Summer Olympics;Men's 62 kg;Gold medal;Kim Un Guk;2012 Summer Olympics
United States of America;Swimming;2012 Summer Olympics;Men's 400 metre individual medley;Gold medal;Ryan Lochte;2012 Summer Olympics
Norway;Cycling;2012 Summer Olympics;Men's road race;Bronze medal;Alexander Kristoff;2012 Summer Olympics
Japan;Swimming;2012 Summer Olympics;Men's 200 metre breaststroke;Bronze medal;Ryo Tateishi;2012 Summer Olympics
Japan;Gymnastics;2012 Summer Olympics;Men's Floor Exercises;Silver medal;Kohei Uchimura;2012 Summer Olympics
United Kingdom;Rowing;2012 Summer Olympics;Men's lightweight double sculls;Silver medal;Zac Purchase;Mark Hunter;2012 Summer Olympics
China;Shooting;2012 Summer Olympics;Men's 25 metre rapid fire pistol;Bronze medal;Ding Feng;2012 Summer Olympics
Germany;Canoeing;2012 Summer Olympics;Men's C-2 1000 metres;Gold medal;Kurt Kuschela;Peter Kretschmer;2012 Summer Olympics
Russia;Gymnastics;2012 Summer Olympics;Women's artistic individual all-around;Silver medal;Viktoria Komova;2012 Summer Olympics
Canada;Diving;2012 Summer Olympics;Women's synchronized 10 metre platform;Bronze medal;Roseline Filion;Meaghan Benfeito;2012 Summer Olympics
United Kingdom;Cycling;2012 Summer Olympics;Men's road time trial;Bronze medal;Chris Froome;2012 Summer Olympics
Norway;Canoeing;2012 Summer Olympics;Men's K-1 1000 metres;Gold medal;Eirik Verås Larsen;2012 Summer Olympics
France;Judo;2012 Summer Olympics;Women's 78 kg;Bronze medal;Audrey Tcheuméo;2012 Summer Olympics
United States of America;Wrestling;1988 Summer Olympics;Men's Greco-Roman Heavyweight;Bronze medal;Dennis Marvin Koslowski;1988 Summer Olympics
Cuba;Boxing;2008 Summer Olympics;Heavyweight;Bronze medal;Osmay Acosta;2008 Summer Olympics
Romania;Wrestling;1980 Summer Olympics;Men's Greco-Roman Lightweight;Gold medal;?tefan Rusu;1980 Summer Olympics
Ukraine;Fencing;2012 Summer Olympics;Women's Épée, Individual;Gold medal;Yana Shemyakina;2012 Summer Olympics
Ukraine;Canoeing;2012 Summer Olympics;Women's K-1 500 metres;Silver medal;Inna Osypenko;2012 Summer Olympics
Kenya;Athletics;2012 Summer Olympics;Men's marathon;Bronze medal;Wilson Kipsang Kiprotich;2012 Summer Olympics
